"","TC_L","FPG_L","Observed_Rate","Background_Rate","EquityValue","user_n","pValue","BH_p"
"1","High TC",NA,0.359031080632673,0.390168745117585,-0.132969045475231,3246,1.28194412551365e-09,1.28194412551365e-09
"2","Normal TC",NA,0.640968919367327,0.609831254882415,0.132969045475231,5795,1.28194412551365e-09,1.28194412551365e-09
"3",NA,"Glucose 100-125",0.387510008006405,0.523808105827208,-0.553095422094989,3388,1.2515285585593e-143,1.2515285585593e-143
"4",NA,"Glucose<100",0.581722520873842,0.270072100041101,1.32410532937818,5086,0,0
"5",NA,"Glucose>=126",0.0307674711197529,0.206119794131691,-2.10157150062208,269,0,0
"6","High TC","Glucose 100-125",0.133120340788072,0.21867031667688,-0.60021463045368,1125,1.02646021227079e-80,1.64233633963327e-80
"7","High TC","Glucose<100",0.213939178795409,0.104229161628594,0.849750260559443,1808,6.42615755693499e-239,2.57046302277399e-238
"8","High TC","Glucose>=126",0.011832919181162,0.0672692668121111,-1.79555330199751,100,5.11927116229352e-92,1.0238542324587e-91
"9","Normal TC","Glucose 100-125",0.256064371080346,0.306422216561888,-0.249626197861009,2164,9.97907236346347e-24,1.33054298179513e-23
"10","Normal TC","Glucose<100",0.36599219027334,0.167939261087813,1.05085379134979,3093,0,0
"11","Normal TC","Glucose>=126",0.0190509998816708,0.135469777232715,-2.08796318799748,161,1.09620196370855e-214,2.92320523655615e-214
