"","SBP_R","BMI_R","Smoker_R","Observed_Rate","Background_Rate","EquityValue","user_n","pValue","BH_p"
"1","SBP 120-129",NA,NA,0.0948526546152232,0.245082715063602,-1.13076063872823,3164,0,0
"2","SBP 130-139",NA,NA,0.17099859100039,0.19886254262092,-0.185147843961131,5704,3.12214941018857e-37,3.12214941018857e-37
"3","SBP<120",NA,NA,0.0428695626105465,0.238696567964137,-1.94593875129665,1430,0,0
"4","SBP>=140",NA,NA,0.691279191773841,0.317358174351342,1.57204573218306,23059,0,0
"5",NA,"Normal weight",NA,0.195197662740802,0.16226981576908,0.224851590316529,6414,6.03177800443014e-59,8.04237067257352e-59
"6",NA,"Obese",NA,0.4142548464652,0.535587243017658,-0.488993523950789,13612,0,0
"7",NA,"Overweight",NA,0.382087099424815,0.294094096951061,0.394883254659755,12555,1.74149785591652e-268,3.48299571183304e-268
"8",NA,"Underweight",NA,0.00846039136918348,0.00804884426220027,0.0502818950233177,278,0.403773628067811,0.403773628067811
"9",NA,NA,"No smoke",0.781052315994604,0.583606600058649,0.934212678575432,26052,0,0
"10",NA,NA,"Smoke",0.218947684005396,0.416393399941352,-0.934212678575431,7303,0,0
"11","SBP 120-129","Normal weight",NA,0.0175294439879485,0.0288364343244368,-0.509333157631449,576,1.72666971760484e-34,2.30222629013979e-34
"12","SBP 120-129","Obese",NA,0.0406281384095682,0.142990855956351,-1.3711499641233,1335,0,0
"13","SBP 120-129","Overweight",NA,0.0363675096624973,0.0714898936857399,-0.713009030839825,1195,8.08686134318156e-135,1.34781022386359e-134
"14","SBP 120-129","Underweight",NA,0.000639094312060623,0.00198256874463341,-1.13344182995689,21,4.37846168230629e-08,5.15113139094858e-08
"15","SBP 130-139","Normal weight",NA,0.0327764082899662,0.029223705589654,0.118395146148597,1077,0.000131581311067634,0.000131581311067634
"16","SBP 130-139","Obese",NA,0.0724002556377248,0.117811863946678,-0.53707413882112,2379,8.26660918693288e-144,1.50301985216961e-143
